epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,45691.4,0.60207,0.92216,1.0923,0.78379,1,0.94967,0.78146,0.83921,1.03002,1.19197,0.0010892,0.0010892,0.0010892
71,45750.6,0.48438,0.7715,0.96192,0.8148,1,0.94695,0.77802,0.83443,1.03723,1.18562,0.001076,0.001076,0.001076
72,45810.5,0.53626,0.78585,1.01534,0.83324,0.93691,0.94036,0.7665,0.81581,1.07182,1.15819,0.0010628,0.0010628,0.0010628
73,45873.6,0.51048,0.67273,0.99681,0.9854,0.9375,0.98553,0.78617,0.71332,1.01179,1.07316,0.0010496,0.0010496,0.0010496
74,45936.5,0.5319,0.82743,1.01193,0.96228,0.9375,0.99147,0.80331,0.69396,1.0282,1.03536,0.0010364,0.0010364,0.0010364
75,46006.8,0.52422,0.68263,0.97721,0.99127,1,0.995,0.81895,0.67565,1.01975,1.01095,0.0010232,0.0010232,0.0010232
76,46066.5,0.45136,0.97095,0.93604,0.98716,1,0.995,0.83166,0.67626,0.93732,0.99869,0.00101,0.00101,0.00101
77,46130.8,0.53299,0.77804,1.04718,0.98646,0.9375,0.98071,0.78456,0.73233,1.01152,1.02299,0.0009968,0.0009968,0.0009968
78,46190.9,0.55274,0.78747,1.04272,0.91952,0.9375,0.96817,0.78715,0.6643,0.91458,1.00213,0.0009836,0.0009836,0.0009836
79,46250.9,0.55532,0.73211,1.01489,0.91023,0.875,0.95527,0.81351,0.61342,0.93653,0.96453,0.0009704,0.0009704,0.0009704
80,46311.2,0.48146,0.68383,0.97684,0.97498,0.6875,0.90653,0.75096,0.60327,1.09646,0.99849,0.0009572,0.0009572,0.0009572
81,46374.1,0.44639,0.64758,0.96637,0.68197,0.93818,0.91876,0.77842,0.62355,1.04415,1.0344,0.000944,0.000944,0.000944
82,46437.6,0.48592,0.68684,0.98475,0.81219,0.875,0.9194,0.77093,0.65216,1.05946,1.0537,0.0009308,0.0009308,0.0009308
83,46500.1,0.52016,0.66335,1.01527,0.76108,0.99568,0.94227,0.80949,0.63853,1.03292,1.05693,0.0009176,0.0009176,0.0009176
84,46562.7,0.4519,0.61033,0.95154,0.7896,1,0.95675,0.82099,0.65319,0.96478,1.04342,0.0009044,0.0009044,0.0009044
85,46622.5,0.46285,0.58923,0.97612,0.99756,1,0.995,0.85304,0.65647,0.8711,1.01218,0.0008912,0.0008912,0.0008912
86,46683.9,0.51064,0.67992,1.01673,0.99605,1,0.995,0.86273,0.63627,0.86236,0.99664,0.000878,0.000878,0.000878
87,46743.8,0.50221,0.72706,1.02861,0.99535,1,0.995,0.87182,0.63574,0.85491,0.97877,0.0008648,0.0008648,0.0008648
88,46804.8,0.46169,0.60141,0.96711,0.9963,1,0.995,0.87752,0.64133,0.81885,0.9791,0.0008516,0.0008516,0.0008516
89,46863.9,0.5263,0.6924,1.01096,0.9927,1,0.995,0.86896,0.6295,0.79958,0.98118,0.0008384,0.0008384,0.0008384
90,46925.3,0.43891,0.60873,0.98004,0.99456,1,0.995,0.87105,0.62863,0.78072,0.99266,0.0008252,0.0008252,0.0008252
91,46984.7,0.4735,0.61656,0.98333,0.99516,1,0.995,0.85751,0.62074,0.7474,0.99325,0.000812,0.000812,0.000812
92,47043.8,0.49228,0.63383,0.99898,0.99404,1,0.995,0.86136,0.63491,0.73336,0.99955,0.0007988,0.0007988,0.0007988
93,47103.7,0.44172,0.56044,0.93097,1,0.99055,0.995,0.85349,0.64656,0.73254,1.01021,0.0007856,0.0007856,0.0007856
94,47164.7,0.43929,0.54859,0.93133,0.98591,1,0.995,0.83169,0.66196,0.7573,1.00558,0.0007724,0.0007724,0.0007724
95,47227.5,0.46442,0.58444,0.96125,0.99194,1,0.995,0.82858,0.68004,0.76556,1.01695,0.0007592,0.0007592,0.0007592
