epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3960.67,0.36349,0.56262,0.99308,0.99782,0.92593,0.93642,0.87139,0.48202,0.80392,0.90355,0.0006635,0.0006635,0.0006635
56,4032.67,0.40323,0.58495,1.02751,0.99786,0.92593,0.94109,0.87659,0.49188,0.79952,0.9019,0.00063875,0.00063875,0.00063875
57,4104.23,0.3694,0.5512,0.96812,0.99776,0.92593,0.95325,0.89207,0.46311,0.79297,0.86077,0.000614,0.000614,0.000614
58,4179.32,0.36668,0.5306,1.01175,0.99762,0.92593,0.97121,0.83173,0.5474,0.86486,0.97212,0.00058925,0.00058925,0.00058925
59,4255.18,0.33038,0.52685,0.96487,0.99744,0.92593,0.97317,0.86166,0.49205,0.81538,0.92995,0.0005645,0.0005645,0.0005645
60,4333.16,0.34495,0.55489,0.98529,0.99765,0.92593,0.9732,0.88619,0.45246,0.76552,0.897,0.00053975,0.00053975,0.00053975
61,4409.59,0.35873,0.56341,1.02839,0.99717,0.92593,0.97496,0.91318,0.43409,0.75363,0.90194,0.000515,0.000515,0.000515
62,4483.51,0.3378,0.53297,0.98623,0.997,0.92593,0.97364,0.93234,0.40094,0.76952,0.86238,0.00049025,0.00049025,0.00049025
63,4557.94,0.3667,0.53898,1.00918,0.99713,0.92593,0.97196,0.87017,0.46749,0.82888,0.93787,0.0004655,0.0004655,0.0004655
64,4630.51,0.38314,0.57443,0.99984,0.99729,0.92593,0.96757,0.87569,0.46066,0.81486,0.92903,0.00044075,0.00044075,0.00044075
65,4702.66,0.34757,0.53858,1.0006,0.99748,0.92593,0.96868,0.89998,0.44669,0.82314,0.9325,0.000416,0.000416,0.000416
66,4776.45,0.38996,0.58431,1.03695,0.99755,0.92593,0.9706,0.88413,0.44381,0.82001,0.93816,0.00039125,0.00039125,0.00039125
67,4849.75,0.36835,0.5664,1.0198,0.99773,0.92593,0.96449,0.89131,0.40293,0.78888,0.87265,0.0003665,0.0003665,0.0003665
68,4922.95,0.30627,0.47146,0.96346,0.99777,0.92593,0.96247,0.91737,0.38358,0.77916,0.84163,0.00034175,0.00034175,0.00034175
69,4997.22,0.37455,0.51163,1.02981,0.99759,0.92593,0.96195,0.91098,0.40883,0.79669,0.86363,0.000317,0.000317,0.000317
70,5069.95,0.33151,0.46955,0.96558,0.99772,0.92593,0.96274,0.90646,0.41896,0.78521,0.86987,0.00029225,0.00029225,0.00029225
71,5143.53,0.38338,0.75682,0.91792,0.99778,0.92593,0.95359,0.89908,0.42351,0.77517,0.88015,0.0002675,0.0002675,0.0002675
72,5215.59,0.41857,0.77861,0.97766,0.99772,0.92593,0.9555,0.91133,0.42613,0.77016,0.87302,0.00024275,0.00024275,0.00024275
73,5289.03,0.40508,0.72317,1.01604,0.99742,0.92593,0.95361,0.91945,0.43017,0.77515,0.86735,0.000218,0.000218,0.000218
74,5363.78,0.36616,0.7356,0.97638,0.99646,0.92593,0.96056,0.8882,0.4586,0.78745,0.89586,0.00019325,0.00019325,0.00019325
75,5436.24,0.44139,0.79974,0.96141,0.99752,0.92593,0.97082,0.9175,0.44452,0.77635,0.88944,0.0001685,0.0001685,0.0001685
76,5514.69,0.36453,0.73075,0.93453,0.99753,0.92593,0.97176,0.92838,0.42938,0.76522,0.87943,0.00014375,0.00014375,0.00014375
77,5589.85,0.37422,0.74504,0.93688,0.99756,0.92593,0.96921,0.92461,0.4249,0.75266,0.88284,0.000119,0.000119,0.000119
78,5663,0.40727,0.83404,0.94839,0.99762,0.92593,0.97104,0.93212,0.4173,0.74516,0.87511,9.425e-05,9.425e-05,9.425e-05
79,5737.32,0.53067,0.84008,1.17139,0.99773,0.92593,0.97834,0.93486,0.40309,0.72961,0.86902,6.95e-05,6.95e-05,6.95e-05
80,5811.78,0.37253,0.67196,0.94435,0.99771,0.92593,0.97714,0.93037,0.39834,0.72373,0.86083,4.475e-05,4.475e-05,4.475e-05
