epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4668.29,0.46724,0.71119,1.0152,1,0.9921,0.995,0.87096,0.58703,0.90263,1.09257,0.0004952,0.0004952,0.0004952
78,4728.22,0.49894,0.77372,0.98381,0.98142,0.9375,0.98833,0.8467,0.57188,0.90574,1.08371,0.0004754,0.0004754,0.0004754
79,4788.19,0.47824,0.6754,0.96787,0.93735,1,0.99147,0.84307,0.58727,0.95176,1.0795,0.0004556,0.0004556,0.0004556
80,4847.87,0.46339,0.71424,0.96372,0.96415,0.9375,0.98833,0.82044,0.60231,1.02488,1.08734,0.0004358,0.0004358,0.0004358
81,4910.02,0.41263,0.65932,0.93282,0.8803,0.92003,0.95167,0.78765,0.60772,1.0406,1.08637,0.000416,0.000416,0.000416
82,4968.76,0.44042,0.65449,0.94198,0.93502,1,0.98029,0.80598,0.63575,1.00712,1.10083,0.0003962,0.0003962,0.0003962
83,5029.02,0.46929,0.66993,0.97649,0.92221,0.875,0.96033,0.79657,0.64006,1.01892,1.10141,0.0003764,0.0003764,0.0003764
84,5090.42,0.39781,0.6137,0.92392,0.93729,0.93435,0.98083,0.79949,0.6408,0.99955,1.09206,0.0003566,0.0003566,0.0003566
85,5151.05,0.4119,0.59428,0.94228,0.94094,0.99597,0.98441,0.79999,0.62741,0.99826,1.0914,0.0003368,0.0003368,0.0003368
86,5213.79,0.47548,0.66819,1.01786,0.94087,0.99477,0.98441,0.81054,0.60052,0.98125,1.07171,0.000317,0.000317,0.000317
87,5276.28,0.47347,0.72534,1.00477,0.94117,0.99986,0.98441,0.80584,0.58998,0.97737,1.06584,0.0002972,0.0002972,0.0002972
88,5336.81,0.41162,0.61219,0.94682,0.92823,0.9375,0.97365,0.80011,0.58217,0.99465,1.05999,0.0002774,0.0002774,0.0002774
89,5397.98,0.46411,0.68851,0.96282,0.9404,0.98686,0.98029,0.81566,0.58743,0.98946,1.06515,0.0002576,0.0002576,0.0002576
90,5460.25,0.42636,0.62611,0.9537,0.93852,1,0.98441,0.83983,0.58245,0.94192,1.05614,0.0002378,0.0002378,0.0002378
91,5518.5,0.52256,0.87108,0.97624,1,0.97713,0.995,0.86144,0.57651,0.93141,1.02824,0.000218,0.000218,0.000218
92,5576.09,0.45949,0.84925,0.92269,0.97994,0.9375,0.98833,0.84902,0.57663,0.91653,1.01952,0.0001982,0.0001982,0.0001982
93,5633.81,0.43803,0.79138,0.92004,0.98941,0.9375,0.98833,0.84377,0.57138,0.89723,1.01611,0.0001784,0.0001784,0.0001784
94,5692.07,0.50301,0.83643,0.99051,0.97863,0.9375,0.98833,0.83777,0.56655,0.88503,1.0212,0.0001586,0.0001586,0.0001586
95,5750.69,0.48317,0.84085,0.96072,0.97146,0.9375,0.99147,0.85272,0.5425,0.89507,1.02326,0.0001388,0.0001388,0.0001388
96,5808.95,0.43703,0.83002,0.92272,1,0.98003,0.995,0.85975,0.53107,0.88802,1.01358,0.000119,0.000119,0.000119
97,5867.56,0.43314,0.79084,0.94126,0.99726,1,0.995,0.8515,0.52998,0.89157,1.0102,9.92e-05,9.92e-05,9.92e-05
98,5926.4,0.42406,0.77893,0.90855,0.98722,1,0.995,0.86823,0.51136,0.87313,1.00916,7.94e-05,7.94e-05,7.94e-05
99,5984.14,0.49715,0.82355,0.96869,0.98307,1,0.995,0.86758,0.51818,0.89055,1.00785,5.96e-05,5.96e-05,5.96e-05
100,6042.32,0.43236,0.79531,0.93328,0.99221,1,0.995,0.86808,0.51397,0.85477,1.00556,3.98e-05,3.98e-05,3.98e-05
