epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1006.07,0.81108,3.91675,0.66009,0.73365,1.14037,0.92524,1,0.97676,0.80801,0.70021,0.75,0.55875,0.13211,0.67129,4.30926,0.40961,0.81991,1.09648,0.0014654,0.0014654,0.0014654
56,1023.75,0.78342,4.55353,0.59765,0.69235,1.07553,0.91637,1,0.98794,0.80193,0.87119,0.84646,0.8625,0.20065,0.68976,4.34382,0.41301,0.83995,1.09684,0.0014555,0.0014555,0.0014555
57,1041.37,0.8413,3.92626,0.62886,0.754,1.11346,1,0.98554,0.995,0.82015,0.97219,0.9375,0.935,0.24488,0.68051,4.1561,0.42168,0.8241,1.06725,0.0014456,0.0014456,0.0014456
58,1059.06,0.748,4.09718,0.62011,0.67655,1.04842,0.98311,1,0.995,0.8411,0.92906,0.9375,0.935,0.33136,0.66634,3.83175,0.42797,0.85577,1.06159,0.0014357,0.0014357,0.0014357
59,1077.06,0.80939,4.28662,0.60138,0.6972,1.12921,0.97903,1,0.995,0.79957,0.97903,1,0.995,0.37056,0.71714,3.74822,0.41422,0.79577,1.11162,0.0014258,0.0014258,0.0014258
60,1094.85,0.8109,4.25269,0.58986,0.72238,1.12475,0.97428,1,0.995,0.82261,0.84895,0.875,0.77375,0.24676,0.66431,4.05282,0.38593,0.68963,1.11622,0.0014159,0.0014159,0.0014159
61,1112.78,0.72788,4.172,0.63392,0.68542,1.07775,0.92587,1,0.99147,0.81674,0.80949,0.875,0.75937,0.25186,0.69978,3.97504,0.39384,0.6867,1.09799,0.001406,0.001406,0.001406
62,1130.85,0.7713,3.90136,0.61511,0.77808,1.09615,0.94021,0.98355,0.98794,0.77118,0.88366,0.875,0.92794,0.36461,0.79691,3.90018,0.40587,0.71256,1.18313,0.0013961,0.0013961,0.0013961
63,1148.75,0.72973,4.08396,0.61565,0.64874,1.05041,0.9333,1,0.97676,0.76888,0.9333,1,0.97676,0.3827,0.78944,3.72303,0.41538,0.72535,1.2139,0.0013862,0.0013862,0.0013862
64,1166.31,0.80096,4.03271,0.64974,0.78592,1.1324,0.93619,1,0.98029,0.77763,0.90232,0.9375,0.92313,0.46531,0.74559,3.68543,0.42034,0.6763,1.15558,0.0013763,0.0013763,0.0013763
